,Пол,Возраст,Повторный клиент,Сумма выдачи номинал,Срок,Просрочки за цикл (кумулятивный),Длительность самой долгой единовременной просрочки,Просрочки на дату 07.06.2021,Льготный период,Цель_Баланд бардоштани сам. эн. манзил,Цель_Оборотный капитал,Цель_Основные средства,Цель_Покупка жилья,Цель_Потребительские цели,Цель_Ремонт жилья,Цель_Старт-ап,Цель_Строительство жилья,Status_Divorced,Status_Married,Status_Single,Status_Widow/Widower,Залог_Движимое имущество,Залог_Депозит,Залог_Не обеспеченный,Залог_Недвижимость,Залог_Поручительство,Залог_Смешанное обеспечение,Залог_Ювелирные изделия,Образование_Аспирантура,Образование_Высшее образование,Образование_Начал образование,Образование_Непол Сред.образ,Образование_Сред.спец.образ-ние,Образование_Среднее образование,Тип_бизнеса_1. Карзи истеъмоли/Потребительский кредит,Тип_бизнеса_2. Истехсолот/Производство,Тип_бизнеса_3. Хизматрасони/Услуги,Тип_бизнеса_4. Савдо / Торговля,Тип_бизнеса_5. Чорводори / Животноводство,Тип_бизнеса_6. Хочагии кишлок / Сельское хозяйство,Тип_бизнеса_7. Тичорати бурунмарзи / Внешняя торговля,Тип_бизнеса_8. Ипотека/Ипотека
1,0,35.0,1,15000.0,24,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,0,35.0,1,35000.0,24,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,0,35.0,1,31000.0,36,5,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,1,48.69982790043094,1,150000.0,84,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,44.75016769137393,1,250000.0,36,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,44.066519135300865,1,500000.0,36,345,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,43.552049903142425,1,500000.0,33,369,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,31.0,1,200000.0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,0,31.0,1,88000.0,24,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,0,31.0,1,60000.0,12,7,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11,0,31.0,1,120000.0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,0,31.0,1,250000.0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
13,0,26.0,1,100000.0,18,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,0,26.0,1,105000.0,24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15,0,26.0,1,100000.0,18,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16,0,26.0,1,80000.0,14,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17,1,47.0,1,200000.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,1,47.0,1,250000.0,24,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,1,47.0,1,170000.0,24,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20,0,53.0,1,100000.0,18,27,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21,0,53.0,1,150000.0,24,10,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22,0,53.0,1,100000.0,24,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23,0,53.0,1,70000.0,18,317,308,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,0,32.0,1,25000.0,36,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25,0,32.0,1,25000.0,36,9,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26,0,32.0,1,21000.0,24,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27,1,54.0,1,30000.0,24,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28,1,54.0,1,25000.0,24,47,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,1,54.0,1,17000.0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,0,50.0,1,13000.0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
